time_s,position_cm,theta_raw_cm
0.631,12.9,2.5375
0.632,12.7875,2.55
0.633,12.6625,2.5375
0.634,12.5625,2.55
0.635,12.45,2.5625
0.636,12.3375,2.5625
0.637,12.225,2.5625
0.638,12.125,2.5625
0.639,12.0125,2.575
0.64,11.9125,2.5875
0.641,11.8125,2.6
0.642,11.7125,2.6
0.643,11.6125,2.6
0.644,11.5125,2.6
0.645,11.4125,2.6125
0.646,11.325,2.6125
0.647,11.225,2.6125
0.648,11.1375,2.6375
0.649,11.0375,2.6375
0.65,10.95,2.6375
0.651,10.8625,2.6375
0.652,10.775,2.6375
0.653,10.6875,2.6375
0.654,10.6125,2.65
0.655,10.525,2.65
0.656,10.45,2.675
0.657,10.3625,2.6625
0.658,10.2875,2.675
0.659,10.2125,2.6625
0.66,10.1375,2.675
0.661,10.0625,2.675
0.662,10.0,2.6875
0.663,9.925,2.675
0.664,9.8625,2.6875
0.665,9.7875,2.7
0.666,9.725,2.7
0.667,9.6625,2.7
0.668,9.6,2.7
0.669,9.5375,2.7
0.67,9.475,2.7
0.671,9.425,2.7125
0.672,9.3625,2.7
0.673,9.3125,2.7125
0.674,9.2625,2.7375
0.675,9.2125,2.7125
0.676,9.1625,2.725
0.677,9.1125,2.725
0.678,9.0625,2.725
0.679,9.025,2.725
0.68,8.975,2.725
0.681,8.9375,2.725
0.682,8.9,2.7375
0.683,8.8625,2.7375
0.684,8.825,2.7375
0.685,8.7875,2.7375
0.686,8.75,2.7375
0.687,8.725,2.75
0.688,8.7,2.7375
0.689,8.6625,2.7375
0.69,8.6375,2.75
0.691,8.6125,2.75
0.692,8.5875,2.7375
0.693,8.575,2.75
0.694,8.55,2.7375
0.695,8.5375,2.75
0.696,8.525,2.7625
0.697,8.5,2.75
0.698,8.4875,2.75
0.699,8.475,2.75
0.7,8.475,2.7625
0.701,8.4625,2.75
0.702,8.4625,2.7625
0.703,8.45,2.75
0.704,8.45,2.7625
0.705,8.45,2.75
0.706,8.45,2.7625
0.707,8.45,2.775
0.708,8.4625,2.7625
0.709,8.4625,2.7625
0.71,8.475,2.7625
0.711,8.475,2.75
0.712,8.4875,2.7625
0.713,8.5,2.7625
0.714,8.5125,2.7625
0.715,8.5375,2.775
0.716,8.55,2.775
0.717,8.5625,2.7625
0.718,8.5875,2.775
0.719,8.6125,2.775
0.72,8.6375,2.775
0.721,8.65,2.7625
0.722,8.6875,2.775
0.723,8.7125,2.775
0.724,8.7375,2.775
0.725,8.775,2.775
0.726,8.8,2.7625
0.727,8.8375,2.7625
0.728,8.875,2.775
0.729,8.9,2.7625
0.73,8.95,2.7625
0.731,8.9875,2.7625
0.732,9.025,2.775
0.733,9.0625,2.75
0.734,9.1125,2.7625
0.735,9.15,2.75
0.736,9.2,2.7625
0.737,9.25,2.7625
0.738,9.3,2.75
0.739,9.35,2.75
0.74,9.4,2.7625
0.741,9.4625,2.75
0.742,9.5125,2.75
0.743,9.575,2.75
0.744,9.6375,2.7625
0.745,9.6875,2.75
0.746,9.75,2.7375
0.747,9.8125,2.7375
0.748,9.875,2.75
0.749,9.95,2.7625
0.75,10.0125,2.7375
0.751,10.0875,2.7375
0.752,10.15,2.7375
0.753,10.225,2.725
0.754,10.3,2.7375
0.755,10.375,2.725
0.756,10.45,2.7375
0.757,10.525,2.7375
0.758,10.6125,2.7375
0.759,10.6875,2.725
0.76,10.7625,2.725
0.761,10.85,2.725
0.762,10.9375,2.725
0.763,11.0125,2.7125
0.764,11.1,2.7125
0.765,11.1875,2.725
0.766,11.275,2.7125
0.767,11.3625,2.7
0.768,11.4625,2.7
0.769,11.55,2.7
0.77,11.6375,2.6875
0.771,11.7375,2.7
0.772,11.8375,2.7
0.773,11.925,2.6875
0.774,12.025,2.6875
0.775,12.125,2.6875
0.776,12.225,2.675
0.777,12.325,2.675
0.778,12.425,2.675
0.779,12.525,2.6625
0.78,12.625,2.65
0.781,12.725,2.6625
0.782,12.8375,2.675
0.783,12.95,2.6625
0.784,13.05,2.65
0.785,13.15,2.6375
0.786,13.2625,2.6375
0.787,13.375,2.6375
0.788,13.475,2.625
0.789,13.5875,2.625
0.79,13.7,2.625
0.791,13.8125,2.625
0.792,13.925,2.6125
0.793,14.0375,2.6
0.794,14.15,2.6
0.795,14.275,2.6125
0.796,14.3875,2.6
0.797,14.5,2.5875
0.798,14.6125,2.5875
0.799,14.725,2.5875
0.8,14.8625,2.6
0.801,14.975,2.5875
0.802,15.0875,2.5625
0.803,15.2125,2.5625
0.804,15.3375,2.5625
0.805,15.45,2.55
0.806,15.575,2.55
0.807,15.6875,2.55
0.808,15.825,2.5375
0.809,15.95,2.5375
0.81,16.0625,2.5125
0.811,16.1875,2.5125
0.812,16.3125,2.5
0.813,16.4375,2.4875
0.814,16.5625,2.4875
0.815,16.6875,2.4875
0.816,16.825,2.4875
0.817,16.95,2.475
0.818,17.075,2.4625
0.819,17.2,2.45
0.82,17.325,2.4375
0.821,17.4625,2.4375
0.822,17.5875,2.425
0.823,17.7125,2.4125
0.824,17.85,2.425
0.825,17.975,2.4
0.826,18.1125,2.4
0.827,18.2375,2.375
0.828,18.375,2.375
0.829,18.5125,2.375
0.83,18.6375,2.35
0.831,18.775,2.3625
0.832,18.9125,2.375
0.833,19.05,2.3375
0.834,19.175,2.325
0.835,19.3125,2.325
0.836,19.45,2.3125
0.837,19.575,2.3
0.838,19.7125,2.2875
0.839,19.85,2.2875
0.84,19.975,2.275
0.841,20.125,2.275
0.842,20.25,2.25
0.843,20.3875,2.25
0.844,20.525,2.25
0.845,20.65,2.2375
0.846,20.7875,2.225
0.847,20.925,2.225
0.848,21.0625,2.2125
0.849,21.1875,2.2
0.85,21.325,2.175
0.851,21.4625,2.175
0.852,21.5875,2.15
0.853,21.725,2.1375
0.854,21.8625,2.1375
0.855,22.0,2.125
0.856,22.125,2.1125
