time_s,position_cm,theta_raw_cm
0.379,27.425,0.875
0.38,27.5125,0.8625
0.381,27.625,0.8625
0.382,27.7125,0.85
0.383,27.8,0.8375
0.384,27.9,0.8375
0.385,27.9875,0.825
0.386,28.075,0.825
0.387,28.1625,0.8125
0.388,28.25,0.8
0.389,28.3375,0.8
0.39,28.425,0.8
0.391,28.5,0.7875
0.392,28.5875,0.7875
0.393,28.6625,0.775
0.394,28.75,0.7875
0.395,28.825,0.75
0.396,28.9,0.75
0.397,28.975,0.7375
0.398,29.05,0.7375
0.399,29.1125,0.725
0.4,29.1875,0.725
0.401,29.25,0.7125
0.402,29.325,0.725
0.403,29.3875,0.7125
0.404,29.45,0.7125
0.405,29.5125,0.725
0.406,29.575,0.7125
0.407,29.625,0.7
0.408,29.6875,0.7125
0.409,29.7375,0.7
0.41,29.8,0.7125
0.411,29.85,0.7125
0.412,29.9,0.7125
0.413,29.95,0.7125
0.414,30.0,0.725
0.415,30.0375,0.725
0.416,30.0875,0.725
0.417,30.125,0.725
0.418,30.1625,0.725
0.419,30.2125,0.7625
0.42,30.2375,0.7625
0.421,30.275,0.7625
0.422,30.3125,0.775
0.423,30.3375,0.775
0.424,30.3625,0.775
0.425,30.3875,0.775
0.426,30.4125,0.775
0.427,30.4375,0.7875
0.428,30.45,0.7875
0.429,30.4625,0.775
0.43,30.4875,0.8
0.431,30.5,0.8
0.432,30.5125,0.8
0.433,30.525,0.8
0.434,30.525,0.8
0.435,30.5375,0.8125
0.436,30.5375,0.8
0.437,30.5375,0.8
0.438,30.5375,0.8125
0.439,30.5375,0.8125
0.44,30.5375,0.825
0.441,30.5375,0.825
0.442,30.5375,0.8375
0.443,30.525,0.825
0.444,30.5125,0.825
0.445,30.5125,0.8375
0.446,30.4875,0.8375
0.447,30.475,0.8375
0.448,30.4625,0.8375
0.449,30.45,0.8375
0.45,30.425,0.8375
0.451,30.4,0.8375
0.452,30.3875,0.8375
0.453,30.3625,0.8375
0.454,30.3375,0.85
0.455,30.3125,0.8375
0.456,30.2875,0.85
0.457,30.2625,0.85
0.458,30.225,0.8375
0.459,30.2,0.85
0.46,30.175,0.8625
0.461,30.1375,0.8625
0.462,30.1,0.85
0.463,30.0625,0.85
0.464,30.025,0.8625
0.465,29.9875,0.8625
0.466,29.95,0.8625
0.467,29.9125,0.8625
0.468,29.875,0.875
0.469,29.825,0.875
0.47,29.7875,0.875
0.471,29.7375,0.8875
0.472,29.6875,0.8875
0.473,29.6375,0.875
0.474,29.5875,0.8875
0.475,29.525,0.875
0.476,29.475,0.875
0.477,29.425,0.8875
0.478,29.375,0.8875
0.479,29.3125,0.8875
0.48,29.2625,0.9
0.481,29.2,0.8875
0.482,29.1375,0.8875
0.483,29.075,0.8875
0.484,29.025,0.9
0.485,28.9625,0.9
0.486,28.8875,0.9
0.487,28.825,0.9
0.488,28.7625,0.9
0.489,28.7,0.075
0.49,28.625,0.9
0.491,28.5625,0.0875
0.492,28.4875,0.0875
0.493,28.425,0.05
0.494,28.35,0.0375
0.495,28.275,0.0375
0.496,28.0125,0.725
0.497,27.975,0.775
0.498,27.8875,0.7625
0.499,27.8125,0.7625
0.5,27.7375,0.7625
0.501,27.8125,0.925
0.502,27.7375,0.925
0.503,27.6625,0.9375
0.504,27.575,0.9375
0.505,27.5,0.95
0.506,27.4125,0.95
0.507,27.3375,0.95
0.508,27.25,0.9625
0.509,27.1625,0.9625
0.51,27.075,0.95
0.511,26.9875,0.9625
0.512,26.9,0.9625
0.513,26.8125,0.9625
0.514,26.725,0.9875
0.515,26.625,0.975
0.516,26.5375,0.975
0.517,26.45,0.9875
0.518,26.35,0.9875
0.519,26.2625,1.0
0.52,26.1625,1.0
0.521,26.0625,1.0
